feature,importance
restlessness,0.22775502201569758
resting_heart_rate,0.09004875434870975
deep_sleep_in_minutes,0.06661599976393988
deep_sleep_in_minutes_lag2,0.060078195859105656
deep_sleep_in_minutes_lag1,0.056360385044124904
deep_sleep_in_minutes_lag6,0.0555998732225784
deep_sleep_in_minutes_lag5,0.05254822728490342
deep_sleep_in_minutes_lag4,0.052211443292386465
deep_sleep_in_minutes_lag3,0.050447379139588126
deep_sleep_in_minutes_lag7,0.04879491563896265
revitalization_score_lag3,0.03948730784499652
revitalization_score_lag6,0.035407024133288924
revitalization_score_lag2,0.03468500793698202
revitalization_score_lag1,0.03426544030496495
revitalization_score_lag4,0.033321009948126326
revitalization_score_lag5,0.03242647191755904
revitalization_score_lag7,0.029947542304085365
