timestamp,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,day_of_week,year,month,hour,day_of_week_encoded
2022-12-23 09:20:30,78,78,91,65,0.0691943127962085,Friday,2022,12,9,0
2022-12-24 10:34:30,74,74,96,65,0.0853503184713375,Saturday,2022,12,10,2
2022-12-25 10:35:30,83,83,126,65,0.0753363228699551,Sunday,2022,12,10,3
2022-12-26 10:20:30,71,71,47,66,0.0625832223701731,Monday,2022,12,10,1
2022-12-27 10:14:30,73,73,75,67,0.0741190765492102,Tuesday,2022,12,10,5
2022-12-28 09:37:30,68,68,67,67,0.0577181208053691,Wednesday,2022,12,9,6
2022-12-29 09:38:30,68,68,88,68,0.0683371298405467,Thursday,2022,12,9,4
2022-12-31 11:14:30,76,76,88,69,0.0492676431424767,Saturday,2022,12,11,2
2023-01-01 11:22:30,76,76,113,68,0.0657894736842105,Sunday,2023,1,11,3
2023-01-02 10:25:30,71,71,78,68,0.0650195058517555,Monday,2023,1,10,1
2023-01-03 08:34:00,77,77,66,67,0.0542986425339366,Tuesday,2023,1,8,5
2023-01-04 08:20:30,77,77,87,66,0.0645526613816534,Wednesday,2023,1,8,6
2023-01-05 07:56:30,81,81,97,64,0.0355912743972445,Thursday,2023,1,7,4
2023-01-07 09:54:30,77,77,104,64,0.0785634118967452,Saturday,2023,1,9,2
2023-01-08 11:16:30,71,71,90,63,0.055045871559633,Sunday,2023,1,11,3
2023-01-09 05:44:00,60,60,53,65,0.0843806104129264,Monday,2023,1,5,1
2023-01-10 08:26:30,75,75,107,66,0.0418410041841004,Tuesday,2023,1,8,5
2023-01-12 08:38:00,68,68,78,65,0.0907859078590785,Thursday,2023,1,8,4
2023-01-13 05:51:30,73,73,98,66,0.0661417322834645,Friday,2023,1,5,0
2023-01-14 08:44:30,69,69,100,65,0.0795454545454545,Saturday,2023,1,8,2
2023-01-15 10:04:00,78,78,132,66,0.065410199556541,Sunday,2023,1,10,3
2023-01-16 05:52:30,71,71,98,67,0.0635930047694753,Monday,2023,1,5,1
2023-01-17 08:22:00,71,71,106,66,0.0489662676822633,Tuesday,2023,1,8,5
2023-01-18 04:22:30,71,71,35,66,0.0436681222707423,Wednesday,2023,1,4,6
2023-01-19 05:48:30,68,68,89,64,0.0508221225710014,Thursday,2023,1,5,4
2023-01-20 07:48:30,82,82,110,66,0.0539374325782092,Friday,2023,1,7,0
2023-01-21 10:08:00,78,78,109,66,0.0551431601272534,Saturday,2023,1,10,2
2023-01-22 09:08:00,73,73,79,66,0.0400667779632721,Sunday,2023,1,9,3
2023-01-23 05:56:30,76,76,105,64,0.0362844702467343,Monday,2023,1,5,1
2023-01-24 07:52:00,76,76,106,64,0.0455801104972375,Tuesday,2023,1,7,5
2023-01-25 08:51:30,75,75,121,63,0.0776119402985074,Wednesday,2023,1,8,6
2023-01-26 05:52:30,71,71,114,64,0.0491283676703645,Thursday,2023,1,5,4
2023-01-30 08:05:30,74,74,76,64,0.1021814006888633,Monday,2023,1,8,1
2023-01-31 08:27:00,81,81,133,63,0.057012542759407,Tuesday,2023,1,8,5
2023-02-01 05:49:30,68,68,66,62,0.0758928571428571,Wednesday,2023,2,5,6
2023-02-02 08:06:00,74,74,92,63,0.0751964085297418,Thursday,2023,2,8,4
2023-02-04 08:08:00,76,76,109,62,0.0473751600512163,Saturday,2023,2,8,2
2023-02-06 05:53:30,69,69,84,61,0.088023088023088,Monday,2023,2,5,1
2023-02-07 06:04:00,66,66,87,57,0.0460251046025104,Tuesday,2023,2,6,5
2023-02-08 07:54:30,77,77,97,58,0.0721003134796238,Wednesday,2023,2,7,6
2023-02-09 05:54:00,68,68,92,58,0.0374812593703148,Thursday,2023,2,5,4
2023-02-10 08:24:30,76,76,102,58,0.0541976620616365,Friday,2023,2,8,0
2023-02-11 10:43:00,84,84,120,58,0.0450928381962864,Saturday,2023,2,10,2
2023-02-12 09:05:30,68,68,78,60,0.0895522388059701,Sunday,2023,2,9,3
2023-02-13 05:49:00,67,67,88,59,0.0554621848739495,Monday,2023,2,5,1
2023-02-15 05:51:00,74,74,68,59,0.0396158463385354,Wednesday,2023,2,5,6
2023-02-16 05:46:00,71,71,92,60,0.0394218134034165,Thursday,2023,2,5,4
2023-02-17 07:36:00,78,78,105,63,0.0407288317256162,Friday,2023,2,7,0
2023-02-18 08:37:30,80,80,120,66,0.0685249709639953,Saturday,2023,2,8,2
2023-02-19 08:28:30,77,77,133,65,0.0346020761245674,Sunday,2023,2,8,3
2023-02-20 07:30:00,68,68,76,65,0.0614173228346456,Monday,2023,2,7,1
2023-02-21 07:49:00,82,82,81,64,0.0592592592592592,Tuesday,2023,2,7,5
2023-02-22 07:39:30,78,78,113,63,0.0543352601156069,Wednesday,2023,2,7,6
2023-02-23 07:52:30,83,83,91,62,0.0782013685239491,Thursday,2023,2,7,4
2023-02-24 07:49:00,73,73,87,59,0.0592930444697833,Friday,2023,2,7,0
2023-02-25 05:54:30,67,67,53,60,0.0466830466830466,Saturday,2023,2,5,2
2023-02-26 11:03:30,75,75,80,62,0.0779054916985951,Sunday,2023,2,11,3
2023-02-27 05:52:30,71,71,65,61,0.0762564991334488,Monday,2023,2,5,1
2023-02-28 07:58:30,75,75,104,58,0.0608034744842562,Tuesday,2023,2,7,5
2023-03-01 05:45:30,69,69,61,58,0.0606585788561525,Wednesday,2023,3,5,6
2023-03-02 05:57:30,76,76,116,59,0.0455089820359281,Thursday,2023,3,5,4
2023-03-03 07:57:00,69,69,63,59,0.0453563714902807,Friday,2023,3,7,0
2023-03-04 07:55:00,69,69,67,59,0.0386206896551724,Saturday,2023,3,7,2
2023-03-05 09:31:00,71,71,117,59,0.0745412844036697,Sunday,2023,3,9,3
2023-03-06 09:04:00,71,71,77,62,0.0575296108291032,Monday,2023,3,9,1
2023-03-07 08:06:00,75,75,106,61,0.0659574468085106,Tuesday,2023,3,8,5
2023-03-08 09:29:30,56,56,52,62,0.1652593486127865,Wednesday,2023,3,9,6
2023-03-09 09:23:00,83,83,139,64,0.0844709897610921,Thursday,2023,3,9,4
2023-03-11 11:38:00,76,76,96,63,0.1023151605675877,Saturday,2023,3,11,2
2023-03-12 04:00:00,57,57,21,62,0.1204188481675392,Sunday,2023,3,4,3
2023-03-13 08:40:30,84,84,64,63,0.0636889991728701,Monday,2023,3,8,1
2023-03-14 09:41:30,77,77,105,62,0.0832497492477432,Tuesday,2023,3,9,5
2023-03-15 08:41:30,58,58,66,61,0.1639344262295081,Wednesday,2023,3,8,6
2023-03-16 08:38:30,82,82,122,58,0.0724029380902413,Thursday,2023,3,8,4
2023-03-17 08:17:00,62,62,92,58,0.1223175965665236,Friday,2023,3,8,0
