timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,day_of_week,year,month,hour,day_of_week_encoded
2023-09-28 14:00:00,76,18,20,38,27,53,0.0536352800953516,Thursday,2023,9,14,4
2023-09-28 14:18:30,84,22,20,42,83,63,0.0908152734778121,Thursday,2023,9,14,4
2023-09-28 14:58:30,35,14,18,3,66,59,0.1109677419354838,Thursday,2023,9,14,4
2023-09-28 17:45:30,82,21,23,38,103,63,0.078853046594982,Thursday,2023,9,17,4
2023-09-29 13:19:00,73,21,18,34,71,64,0.0568356374807987,Friday,2023,9,13,0
2023-09-29 14:50:00,79,20,22,37,36,53,0.0789779326364692,Friday,2023,9,14,0
2023-09-29 15:10:30,65,17,13,35,59,60,0.0877403846153846,Friday,2023,9,15,0
2023-09-29 19:19:30,74,15,21,38,75,65,0.0994475138121546,Friday,2023,9,19,0
2023-09-30 13:38:00,66,21,20,25,51,66,0.1141199226305609,Saturday,2023,9,13,2
2023-09-30 15:05:00,71,16,17,38,38,52,0.093491124260355,Saturday,2023,9,15,2
2023-09-30 15:16:00,69,17,17,35,65,47,0.0671328671328671,Saturday,2023,9,15,2
2023-09-30 17:43:00,76,22,19,35,92,60,0.0765606595995288,Saturday,2023,9,17,2
2023-09-30 19:16:30,72,18,20,34,75,66,0.1340996168582375,Saturday,2023,9,19,2
2023-10-01 12:46:00,67,17,23,27,70,61,0.073469387755102,Sunday,2023,10,12,3
2023-10-01 13:50:00,74,17,18,39,76,49,0.0571761960326721,Sunday,2023,10,13,3
2023-10-01 14:05:30,68,15,15,38,37,53,0.0648508430609598,Sunday,2023,10,14,3
2023-10-01 19:15:30,84,18,21,45,99,67,0.1258333333333333,Sunday,2023,10,19,3
2023-10-02 13:30:30,80,21,19,40,48,50,0.0417661097852028,Monday,2023,10,13,1
2023-10-02 13:55:30,73,15,22,36,26,54,0.0931849791376912,Monday,2023,10,13,1
2023-10-02 15:45:30,80,19,24,37,69,60,0.0658823529411764,Monday,2023,10,15,1
2023-10-02 21:24:00,86,19,22,45,123,66,0.1228699551569506,Monday,2023,10,21,1
2023-10-03 13:36:00,78,21,23,34,78,66,0.0767160161507402,Tuesday,2023,10,13,5
2023-10-03 14:00:00,67,17,13,37,65,52,0.0644718792866941,Tuesday,2023,10,14,5
2023-10-03 14:00:30,83,17,23,43,61,50,0.0353200883002207,Tuesday,2023,10,14,5
2023-10-03 15:00:00,86,22,22,42,107,61,0.0673575129533678,Tuesday,2023,10,15,5
2023-10-03 16:22:30,84,22,20,42,86,59,0.0734883720930232,Tuesday,2023,10,16,5
2023-10-03 20:09:30,74,19,20,35,126,65,0.1870196413321947,Tuesday,2023,10,20,5
2023-10-04 13:03:30,78,21,23,34,88,66,0.0827489481065918,Wednesday,2023,10,13,6
2023-10-04 13:22:30,71,15,22,34,44,54,0.0681818181818181,Wednesday,2023,10,13,6
2023-10-04 13:35:30,59,17,16,26,66,60,0.1056422569027611,Wednesday,2023,10,13,6
2023-10-04 13:40:00,75,21,15,39,40,45,0.1521472392638037,Wednesday,2023,10,13,6
2023-10-04 13:41:30,83,21,23,39,113,49,0.042997542997543,Wednesday,2023,10,13,6
2023-10-04 14:15:00,77,21,20,36,105,67,0.1052093973442288,Wednesday,2023,10,14,6
2023-10-04 14:56:30,79,19,22,38,67,59,0.0897571277719113,Wednesday,2023,10,14,6
2023-10-04 17:15:30,76,18,23,35,79,64,0.0793650793650793,Wednesday,2023,10,17,6
2023-10-05 13:45:30,75,20,17,38,70,48,0.0585305105853051,Thursday,2023,10,13,4
2023-10-05 13:51:30,74,20,16,38,34,53,0.0564826700898587,Thursday,2023,10,13,4
2023-10-05 14:21:30,79,22,20,37,91,66,0.1099020674646354,Thursday,2023,10,14,4
2023-10-05 14:24:00,77,21,22,34,61,65,0.1008303677342823,Thursday,2023,10,14,4
2023-10-05 14:33:00,82,22,20,40,104,55,0.0540019286403085,Thursday,2023,10,14,4
2023-10-05 14:55:30,80,20,21,39,80,58,0.0714285714285714,Thursday,2023,10,14,4
2023-10-05 14:59:30,72,22,18,32,72,46,0.2016895459345301,Thursday,2023,10,14,4
2023-10-05 17:25:30,73,18,20,35,93,64,0.1019473081328751,Thursday,2023,10,17,4
2023-10-05 22:06:00,87,25,21,41,163,62,0.1090686274509804,Thursday,2023,10,22,4
2023-10-06 13:08:00,79,20,23,36,94,49,0.0554803788903924,Friday,2023,10,13,0
2023-10-06 13:19:30,67,21,17,29,35,46,0.0755336617405583,Friday,2023,10,13,0
2023-10-06 13:23:00,79,21,22,36,78,66,0.0781841109709962,Friday,2023,10,13,0
2023-10-06 14:28:30,76,16,23,37,74,53,0.0525,Friday,2023,10,14,0
2023-10-06 14:33:00,74,18,21,35,36,53,0.0664112388250319,Friday,2023,10,14,0
2023-10-06 16:31:00,83,24,19,40,139,65,0.1037998146431881,Friday,2023,10,16,0
2023-10-06 17:55:30,74,17,21,36,89,61,0.1317418213969938,Friday,2023,10,17,0
2023-10-06 18:45:00,83,21,20,42,50,71,0.1463897131552917,Friday,2023,10,18,0
2023-10-06 19:30:30,89,23,21,45,142,65,0.1101190476190476,Friday,2023,10,19,0
2023-10-07 13:34:30,83,21,24,38,73,65,0.0354330708661417,Saturday,2023,10,13,2
2023-10-07 14:48:30,81,21,22,38,52,53,0.0616113744075829,Saturday,2023,10,14,2
2023-10-07 15:57:00,83,18,19,46,64,58,0.0567056705670567,Saturday,2023,10,15,2
2023-10-07 16:23:30,80,22,19,39,76,48,0.2017167381974249,Saturday,2023,10,16,2
2023-10-07 17:32:30,84,22,18,44,108,66,0.108354011579818,Saturday,2023,10,17,2
2023-10-07 17:55:00,76,19,19,38,75,70,0.1232876712328767,Saturday,2023,10,17,2
2023-10-07 18:29:30,79,22,21,36,98,65,0.0851063829787234,Saturday,2023,10,18,2
2023-10-08 12:43:00,82,19,21,42,119,49,0.1037974683544303,Sunday,2023,10,12,3
2023-10-08 13:35:30,66,15,16,35,38,52,0.1253602305475504,Sunday,2023,10,13,3
2023-10-08 14:03:00,79,22,19,38,67,47,0.1378091872791519,Sunday,2023,10,14,3
2023-10-08 14:13:30,83,20,21,42,78,57,0.0628626692456479,Sunday,2023,10,14,3
2023-10-08 14:19:30,79,17,22,40,97,66,0.0778325123152709,Sunday,2023,10,14,3
2023-10-08 14:52:30,86,22,23,41,96,53,0.0424481737413622,Sunday,2023,10,14,3
2023-10-08 15:13:30,77,20,18,39,59,65,0.1206735266604303,Sunday,2023,10,15,3
2023-10-08 20:34:00,92,25,21,46,151,65,0.0898472596585804,Sunday,2023,10,20,3
2023-10-08 23:37:30,90,23,21,46,121,59,0.1002691790040376,Sunday,2023,10,23,3
2023-10-09 11:14:00,59,14,17,28,4,46,0.1536885245901639,Monday,2023,10,11,1
2023-10-09 11:31:00,70,19,22,29,22,57,0.0578313253012048,Monday,2023,10,11,1
2023-10-09 12:26:00,79,22,18,39,95,48,0.0625698324022346,Monday,2023,10,12,1
2023-10-09 13:22:30,47,14,20,13,43,60,0.1029159519725557,Monday,2023,10,13,1
2023-10-09 13:52:30,70,16,16,38,50,52,0.0809523809523809,Monday,2023,10,13,1
2023-10-09 14:06:30,84,21,23,40,45,57,0.0549828178694158,Monday,2023,10,14,1
2023-10-09 14:16:30,81,21,19,41,116,64,0.0882647943831494,Monday,2023,10,14,1
2023-10-09 14:32:30,78,19,18,41,95,52,0.0540806293018682,Monday,2023,10,14,1
2023-10-09 14:38:00,72,17,18,37,62,52,0.1076280041797283,Monday,2023,10,14,1
2023-10-09 16:08:00,82,21,20,41,82,65,0.1152263374485596,Monday,2023,10,16,1
2023-10-09 16:46:00,76,18,21,37,123,66,0.0890973036342321,Monday,2023,10,16,1
2023-10-10 12:38:00,84,21,20,43,78,49,0.0539714867617108,Tuesday,2023,10,12,5
2023-10-10 13:07:00,76,21,23,32,57,64,0.0747967479674796,Tuesday,2023,10,13,5
2023-10-10 13:34:00,82,21,23,38,60,56,0.0675675675675675,Tuesday,2023,10,13,5
2023-10-10 13:59:30,76,19,22,35,28,52,0.056768558951965,Tuesday,2023,10,13,5
2023-10-10 14:09:30,67,17,19,31,28,46,0.1695501730103806,Tuesday,2023,10,14,5
2023-10-10 14:21:00,76,19,19,38,102,64,0.0986214209968186,Tuesday,2023,10,14,5
2023-10-10 14:39:30,74,16,16,42,72,51,0.0725720384204909,Tuesday,2023,10,14,5
2023-10-10 14:48:00,76,17,20,39,71,52,0.0626808100289296,Tuesday,2023,10,14,5
2023-10-10 15:04:00,79,21,19,39,53,65,0.1215469613259668,Tuesday,2023,10,15,5
2023-10-10 15:42:00,80,21,21,38,66,56,0.06375,Tuesday,2023,10,15,5
2023-10-10 18:12:00,85,20,21,44,63,60,0.1236146632566069,Tuesday,2023,10,18,5
2023-10-10 20:48:00,86,23,19,44,142,66,0.1320590790616854,Tuesday,2023,10,20,5
2023-10-11 11:24:00,74,21,17,36,68,49,0.0530612244897959,Wednesday,2023,10,11,6
2023-10-11 13:50:00,74,21,21,32,74,61,0.0713375796178343,Wednesday,2023,10,13,6
2023-10-11 13:52:00,80,18,23,39,39,56,0.0757737459978655,Wednesday,2023,10,13,6
2023-10-11 14:00:00,65,17,13,35,42,51,0.1075862068965517,Wednesday,2023,10,14,6
2023-10-11 14:01:00,69,20,12,37,57,46,0.160377358490566,Wednesday,2023,10,14,6
2023-10-11 14:13:00,77,20,18,39,61,65,0.1104594330400782,Wednesday,2023,10,14,6
2023-10-11 14:41:00,78,17,19,42,66,52,0.0548223350253807,Wednesday,2023,10,14,6
2023-10-11 15:06:30,73,17,19,37,56,53,0.082529474812433,Wednesday,2023,10,15,6
2023-10-11 15:41:00,76,16,18,42,65,55,0.0612668743509865,Wednesday,2023,10,15,6
2023-10-11 16:09:30,79,20,18,41,37,66,0.1382113821138211,Wednesday,2023,10,16,6
2023-10-11 17:39:00,68,18,21,29,71,59,0.1304347826086956,Wednesday,2023,10,17,6
2023-10-11 18:20:00,68,17,19,32,112,67,0.0953038674033149,Wednesday,2023,10,18,6
2023-10-12 10:55:30,69,18,16,35,93,62,0.0694896851248642,Thursday,2023,10,10,4
2023-10-12 13:22:30,82,22,20,40,88,48,0.0457209847596717,Thursday,2023,10,13,4
2023-10-12 13:40:00,69,18,18,33,50,47,0.0961298377028714,Thursday,2023,10,13,4
2023-10-12 14:07:30,76,18,19,39,52,61,0.0901883052527254,Thursday,2023,10,14,4
2023-10-12 14:09:30,74,21,16,37,58,51,0.1108108108108108,Thursday,2023,10,14,4
2023-10-12 14:12:30,80,17,19,44,87,53,0.0491510277033065,Thursday,2023,10,14,4
2023-10-12 14:20:00,78,19,19,40,109,65,0.1066545123062898,Thursday,2023,10,14,4
2023-10-12 15:11:30,75,20,20,35,28,65,0.1111111111111111,Thursday,2023,10,15,4
2023-10-12 15:16:30,85,21,22,42,95,57,0.0762286860581745,Thursday,2023,10,15,4
2023-10-12 15:27:00,76,21,15,40,70,51,0.0826985854189336,Thursday,2023,10,15,4
2023-10-12 15:32:30,86,21,23,42,82,56,0.0499468650371944,Thursday,2023,10,15,4
2023-10-12 17:30:30,83,22,21,40,87,59,0.0943925233644859,Thursday,2023,10,17,4
2023-10-12 17:39:00,78,19,21,38,93,68,0.0971098265895953,Thursday,2023,10,17,4
2023-10-13 14:05:00,76,21,21,34,40,61,0.0717079530638852,Friday,2023,10,14,0
2023-10-13 14:17:30,67,15,18,34,20,51,0.1079545454545454,Friday,2023,10,14,0
2023-10-13 14:32:30,77,21,19,37,73,48,0.067065868263473,Friday,2023,10,14,0
2023-10-13 15:01:30,75,18,16,41,108,66,0.1383344803854095,Friday,2023,10,15,0
2023-10-13 15:15:00,80,21,19,40,106,54,0.0696008188331627,Friday,2023,10,15,0
2023-10-13 16:01:30,81,21,20,40,87,55,0.0568927789934354,Friday,2023,10,16,0
2023-10-13 16:10:00,65,18,12,35,83,55,0.1390374331550802,Friday,2023,10,16,0
2023-10-13 16:20:00,79,20,18,41,65,56,0.0726714431934493,Friday,2023,10,16,0
2023-10-13 17:06:30,84,22,17,45,100,64,0.1298366294067068,Friday,2023,10,17,0
2023-10-13 17:09:00,80,20,15,45,110,60,0.0731046931407942,Friday,2023,10,17,0
2023-10-13 17:20:00,60,21,9,30,57,47,0.2077789150460593,Friday,2023,10,17,0
2023-10-13 18:24:00,75,17,16,42,62,53,0.1023368251410153,Friday,2023,10,18,0
2023-10-13 18:48:30,85,22,21,42,117,68,0.1097308488612836,Friday,2023,10,18,0
2023-10-13 20:13:00,81,21,17,43,154,58,0.1080459770114942,Friday,2023,10,20,0
2023-10-14 13:24:30,83,18,20,45,99,66,0.0974313551815766,Saturday,2023,10,13,2
2023-10-14 14:18:00,71,20,15,36,49,51,0.1495327102803738,Saturday,2023,10,14,2
2023-10-14 14:30:30,72,19,21,32,19,61,0.1041433370660694,Saturday,2023,10,14,2
2023-10-14 15:50:30,80,20,18,42,63,56,0.079696394686907,Saturday,2023,10,15,2
2023-10-14 16:02:00,77,17,19,41,110,48,0.123719464144996,Saturday,2023,10,16,2
2023-10-14 16:12:00,69,21,14,34,39,50,0.0715268225584594,Saturday,2023,10,16,2
2023-10-14 16:35:00,55,18,12,25,39,55,0.1159737417943107,Saturday,2023,10,16,2
2023-10-14 16:52:00,80,21,18,41,63,64,0.1210067763794772,Saturday,2023,10,16,2
2023-10-14 16:56:30,62,17,13,32,76,64,0.0796992481203007,Saturday,2023,10,16,2
2023-10-14 17:01:00,76,21,16,39,92,58,0.1275045537340619,Saturday,2023,10,17,2
2023-10-14 17:07:00,83,19,19,45,84,54,0.1056910569105691,Saturday,2023,10,17,2
